subj,stimulus,timestamp,x,y,duration,prev_sacc_amplitude,aoi_label
User 26,page1,23.687010,681.853200,340.134375,0.065430,106.053559,
User 26,page1,23.834470,837.261600,404.802000,0.148930,168.326090,
User 26,page1,24.033200,987.220800,375.751500,0.118170,152.747155,
User 26,page1,24.197750,1098.610800,381.092250,0.032720,111.517961,
User 26,page1,24.360840,578.791200,407.628000,0.115230,520.496458,
User 26,page1,24.575200,716.835467,387.047500,0.147940,139.569970,
User 26,page1,24.754390,716.704800,280.812000,0.016610,106.235580,
User 26,page1,24.803220,805.672000,375.768167,0.165040,130.122390,
User 26,page1,25.069340,949.929600,331.360500,0.112790,150.938054,
User 26,page1,25.231930,1064.624400,424.242000,0.065430,147.586823,
User 26,page1,25.395510,538.414800,413.610750,0.050290,526.316983,
User 26,page1,25.462400,585.312000,436.663500,0.017580,52.256834,
User 26,page1,25.609380,708.120000,442.785000,0.016110,122.960472,
User 26,page1,25.691410,752.085600,360.643500,0.017570,93.167591,
User 26,page1,25.724610,765.626400,451.873800,0.097660,92.229718,
User 26,page1,25.873540,851.696160,397.784100,0.163570,101.654804,
User 26,page1,26.052730,886.744320,449.746500,0.115730,62.677464,
User 26,page1,26.201170,958.464150,364.561969,0.295410,111.355909,
User 26,page1,26.562990,1043.384160,451.308900,0.115230,121.393732,
User 26,page1,26.808590,574.866600,455.858812,0.147950,468.539652,
User 26,page1,26.990230,693.121800,452.825625,0.098640,118.294093,
User 26,page1,27.136720,780.805200,452.844000,0.049320,87.683402,
User 26,page1,27.218750,762.518400,390.505500,0.017090,64.965342,
User 26,page1,27.285160,784.240800,461.632500,0.032710,74.370107,
User 26,page1,27.665530,893.054400,426.468000,0.015620,114.354456,
User 26,page1,27.745120,636.720000,474.978000,0.016600,260.884160,
User 26,page1,27.794430,575.332800,485.383500,0.098150,62.262852,
User 26,page1,27.926270,689.278800,504.593250,0.033690,115.553907,
User 26,page1,27.991210,770.767200,439.341000,0.131350,104.394518,
User 26,page1,28.139160,761.845280,466.686500,0.247560,28.764162,
User 26,page1,28.402830,746.897760,455.960400,0.115720,18.397760,
User 26,page1,28.582520,918.453480,457.061850,0.410160,171.559256,
User 26,page1,29.009280,866.997600,456.176438,0.132810,51.463497,
User 26,page1,29.158690,919.221800,475.393625,0.212400,55.647708,
User 26,page1,29.403810,1001.339294,461.614588,0.607420,83.265507,
User 26,page1,30.060550,1110.482100,486.972938,0.132320,112.049980,
User 26,page1,30.324220,566.098400,496.349000,0.049320,544.464437,
User 26,page1,30.389650,549.353280,508.200000,0.115230,20.514513,
User 26,page1,30.538090,648.923800,483.505750,0.262200,102.587009,
User 26,page1,30.833500,808.226779,483.555947,0.689940,159.302987,
User 26,page1,31.573730,975.959815,487.915615,0.212400,167.789684,
User 26,page1,31.851560,841.265600,486.931375,0.213870,134.697811,
User 26,page1,32.132320,971.573867,504.970667,0.146000,131.550980,
User 26,page1,32.328130,1092.806400,544.089000,0.016110,127.387484,
User 26,page1,32.361330,1109.563200,501.624000,0.114740,45.651578,
User 26,page1,32.541990,557.223692,490.627038,0.214850,552.448970,
User 26,page1,32.806640,665.725200,496.902000,0.031740,108.682806,
User 26,page1,32.854980,638.904000,501.753000,0.016600,27.256357,
User 26,page1,32.920900,803.769867,499.721833,0.148440,164.878378,
User 26,page1,33.149900,906.685920,534.928800,0.082520,108.771524,
User 26,page1,33.297850,1039.143000,491.283187,0.132330,139.462603,
User 26,page1,33.461910,1155.173600,516.250000,0.049320,118.686317,
User 26,page1,33.609860,587.351520,548.148300,0.082030,568.717343,
User 26,page1,33.758790,719.059600,539.208250,0.130860,132.011147,
User 26,page1,33.971190,836.205600,541.519500,0.148440,117.168798,
User 26,page1,34.168460,1002.206100,538.476750,0.132320,166.028384,
User 26,page1,34.350100,1101.616320,523.317900,0.082520,100.559349,
User 26,page1,34.512700,659.076600,562.007250,0.099600,444.227723,
User 26,page1,34.628910,643.818000,513.770250,0.033200,50.592816,
User 26,page1,34.678220,667.867200,565.299000,0.016600,56.864542,
User 26,page1,34.710940,622.423200,554.594250,0.049800,46.687780,
User 26,page1,34.809080,780.382400,530.990250,0.213380,159.713048,
User 26,page1,35.071780,900.473280,546.884100,0.180660,121.138078,
User 26,page1,35.318360,1075.956000,562.800000,0.015620,176.203010,
